"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","945","CT14 - Cenário Negativo - Impedir exclusão de usuário que possui carrinho associado","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","preventDeletingUserThatHasAssociatedCart"
"","4487","CT10 - Cenário Negativo - Validar se existe retorno de erro ao buscar usuário inexistente","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","advancedJsonValidationsWithFilters"
"","140","CT15 - Cenário Negativo - Buscar usuário por ID inválido deve retornar 400","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","userByInvalidIdShouldReturn400"
"","247","CT05 - Validar formato de e-mail inválido CT05 - Validar formato de e-mail inválido: reinaldo.rossetti","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateInvalidEmailFormat"
"","430","CT07 - Valida Exclusão de um usuário Administrador, com administrador igual a true","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","deleteAdminUser"
"","4678","CT02 - Criação de um novo usuário Administrador, com administrador igual a true","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","createAdminUser"
"","264","CT05 - Validar formato de e-mail inválido CT05 - Validar formato de e-mail inválido: @gmail.com","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateInvalidEmailFormat"
"","311","CT02 - Tentar login com credenciais inválidas","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","loginWithInvalidCredentials"
"","155","CT13 - Cenário Negativo - Preparar dados para validação de cadastro","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","prepareDataForNestedObjectValidation"
"","4559","CT16 - Cenário Negativo - Impedir atualização de usuário com e-mail duplicado","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","preventUpdatingUserWithDuplicateEmail"
"","4219","CT04 - Login e uso do token para acessar recurso protegido","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","loginAndUseTokenInProtectedRoute"
"","329","CT01 - Criação de um novo usuário padrão, com administrador igual a false","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","createNormalUser"
"","267","CT09 - Cenário Negativo - Validar mensagens de erro ao criar e-mail duplicado","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","duplicateEmailValidation"
"","250","CT05 - Validar formato de e-mail inválido CT05 - Validar formato de e-mail inválido: email","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateInvalidEmailFormat"
"","209","CT05 - Validar formato de e-mail inválido CT05 - Validar formato de e-mail inválido: !@#$%","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateInvalidEmailFormat"
"","595","CT12 - Cenário Negativo - Validar ausência de campos não mapeados","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","validateAbsenceOfFields"
"","368","CT08 - Valida Exclusão de um usuário Padrão, com administrador igual a false","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","deleteNormalUser"
"","454","CT06 - Atualização de um usuário Padrão, com administrador igual a false","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","updateNormalUser"
"","4486","CT03 - Listar todos os usuários e validar estrutura JSON","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","listAllUsersAndValidateStructure"
"","465","CT11 - Cenário Negativo - Validações condicionais baseadas em valores","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","conditionalValidationsBasedOnValues"
"","759","CT04 - Buscar usuário específico por ID","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","getUserById"
"","3954","CT01 - Realizar login com credenciais válidas e validar token","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","loginWithValidCredentials"
"","3829","CT05 - Validar formato de e-mail inválido CT05 - Validar formato de e-mail inválido: 12345@test.c","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateInvalidEmailFormat"
"","425","CT05 - Atualização de um usuário Administrador, com administrador igual a true","","2026-08-04","passed","2026-08-04","","restassured_serverest.usuarios.UsersFeatureTests","restassured_serverest.usuarios.UsersFeatureTests","updateAdminUser"
"","4442","CT03 - Validar campos obrigatórios no login","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateRequiredFields"
"","239","CT05 - Validar formato de e-mail inválido CT05 - Validar formato de e-mail inválido: email@nodomain","","2026-08-04","passed","2026-08-04","","restassured_serverest.login.LoginFeatureTests","restassured_serverest.login.LoginFeatureTests","validateInvalidEmailFormat"
